Equation,Answer
5 - 4 $ 26 + -36 $ -3,0
-51 * 30 - -81 * -25 & -93,19.112903
-49 & -48 * 6 - -18 * -90,0.012841
-79 % -51 - -65 $ -18 / 87,0
2 - -47 + 95 % -68 * -91,3780
-61 & 19 - -31 - 90 + 51,-2.772727
-6 & -99 + -1 % 74 + -26,0.057692
51 * -75 % 23 $ 92 - 75,477
35 / 67 - -89 % 66 - -71,28.522388
-7 % -97 + 0 % -25 - -18,11
7 % 78 / 74 $ 62 $ 18,18
-68 % -44 + -97 $ -19 & 94,-0.101064
-1 % -71 + -99 + -24 + -79,-203
-80 / 86 * 95 / 13 + -7,-13.797853
88 * -53 & -31 % 77 * -2,25.347826
4 / 57 / -86 & 47 $ 13,-0.000031
-39 + 62 % -2 & 97 $ -44,-inf
-59 + 39 % -47 & 40 $ 46,-0.364130
64 $ -99 & -18 $ 69 $ -28,-1.767857
-90 * 44 + 54 % -81 $ 55,0
3 - -13 & 34 - 45 $ 47,-0.042553
-82 - 50 - -11 % -11 $ 70,0
62 + 48 % -17 / 0 * 10,-inf
70 $ -9 * -68 + -73 + -14,5421
-18 - -1 * -85 $ 34 % 87,0
68 % -17 + -33 & 48 - 7,-0.402439
52 / -60 - 22 / -99 + -68,-68.644444
-86 $ 29 - -25 - -30 & 27,1.018519
-23 $ -6 - 23 & 30 * 73,-0.006621
6 % -37 $ -84 + 32 & -58,1.896552
-92 & -4 % -33 $ -77 & -59,-0.000253
-62 % 61 $ -8 & 98 / -62,0
-6 + 86 % -45 & 39 / -1,0.128205
-22 & 85 % 52 / -2 - 47,0.173228
-98 * -1 / 2 / -35 + 68,66.600000
92 + -72 $ 90 $ -79 $ -4,inf
-22 + -45 / -11 & -48 - 61,0.082152
68 $ 17 / -1 * -7 & 33,3.606061
63 $ -28 * 93 / -7 & -65,-17.169231
-99 - 23 + 92 * -60 & 87,-32.425287
16 / 99 % -21 $ 72 * 57,-804384
91 % 33 % 25 + -58 & 20,-1.450000
76 * 48 * -80 $ -78 - 43,-121
38 * -61 & 62 % -5 + 18,-77.266667
-13 / -37 & 96 & 20 - 66,-0.000020
-45 + -74 & 26 & -21 + 7,0.081731
-42 & 52 & -65 % 83 % -48,0.006731
89 - 79 - -21 & 67 + -46,0.738095
35 * -51 & 72 % -58 $ -78,5.721154
-49 & 97 + 38 % 70 % 43,-0.181481
-66 % 83 / 6 % 40 / -63,-0.044974
-8 $ -44 + 0 $ -51 + -69,-120
-40 / 83 & -70 - -30 * 30,-0.000290
30 - 45 % 49 & -63 $ 94,0.079787
83 & 78 % 27 + 52 & -11,-0.024821
62 - 3 + 61 & 80 + -83,-20
80 - 38 % 83 / 30 * -79,180.066667
-83 % 84 - 14 + -22 $ 63,-63
57 & 71 & -37 + -34 - -89,0.011150
0 % -60 & 3 / -28 $ 39,0
9 $ -1 % 83 * 92 $ -62,0
1 / 91 $ -60 / -64 $ -88,88
99 * -47 - 94 % 4 * 18,-4689
54 - 45 & -63 * -29 / -66,-0.162562
-62 * -10 * -12 + -65 / -81,-7439.197531
54 + 87 * -63 - 11 % -23,-5415
-32 / -62 $ 57 % -91 - 30,2180
80 / 65 / 26 / -73 $ -74,-8444732
-7 + 15 - 63 + -7 & -93,0.333333
-28 * -97 * -45 % 45 - -71,71
31 & -83 $ -3 & 62 / -45,1.875000
32 $ 81 - -2 $ -71 $ 47,inf
-18 * 32 + -31 $ 50 - -61,61
61 + 31 * -30 & -2 $ -4,54.312500
-67 * -57 * -91 / -23 - -38,15147.956522
28 + 31 % -50 / -34 & -56,-0.254989
-12 - 87 * 55 + 52 / -43,-4798.209302
-98 * 29 / 29 - 43 * 59,-2635
-85 / -33 / 49 $ -3 $ -73,0
-89 + 1 & 31 - -38 & 75,-0.004251
