Equation,Answer
85 $ 62 & 25 * 31 / 58,2.320000
-60 / -96 # -1 * 50 $ -35,-35
-85 + 36 * -22 * -44 & 51,340.813725
67 # 79 # 25 + -23 # -98,147534
57 + 89 & 16 % 68 & -58,-0.039332
-80 - -31 $ 42 % 26 # 96,-68080
78 # -11 + -16 + 41 / 76,-828.460526
22 & 8 - -5 % -98 & -2,-0.211538
-49 $ -57 # -32 $ 99 - 21,-21
-24 + 52 * 54 $ 74 & -5,-7.400000
-33 & 30 + -39 * -10 % -89,0.660000
-28 $ 24 $ 30 / -14 $ 93,0
-37 + -82 * 52 & 59 & -72,0.253119
35 / 31 + 78 + 63 & 59,1.204483
80 / 12 & -36 # 70 % -32,-0.333333
-96 + 12 % -53 * -95 # -77,-296347
82 # -60 * 46 * -83 - -32,19158756
17 + -1 * -73 - -83 & -7,-12.357143
49 * -72 + 99 / 72 & -50,35.266250
5 + 84 + 10 * -38 / -20,108
32 / 14 # -79 + -87 & 74,-3.393822
11 + 15 # 85 % 47 & -94,-0.276596
-67 * -46 + 82 # 46 $ 34,34
50 & 93 - -79 / -81 + -19,0.342350
-36 % 52 $ 40 * -18 + -42,32358
8 * -6 + 27 + 84 + 94,157
56 / -23 - 30 $ 59 + -82,-141
38 # 0 % 45 $ 71 $ -42,0
-56 / 92 / -12 + 96 # -4,-299.949275
10 - -9 / 79 - 45 - 70,-104.886076
-9 % -40 % -14 * 10 - 11,-101
66 # -6 % -8 # 36 # -89,3253
-18 $ 8 # -30 / -10 % 54,-32.200000
28 + 66 & -29 & -19 * -27,-0.001580
0 $ -48 % 61 + -17 & -15,-inf
21 * 91 & 91 $ -55 % 41,35.388889
48 + -94 $ 29 * -46 & 84,-230.273810
78 * -24 # -94 # 46 / 44,185668.090909
38 / 68 - 46 * 50 # 91,-211872.441176
86 $ 62 # 50 + 14 % 62,129182
-39 % -98 * 37 * -66 & 17,2801.117647
-98 # -13 * 78 / -11 & 40,-100.779545
74 % -47 - 66 / -46 + 66,47.434783
-66 / 45 # 86 % -70 $ -89,-890
60 - -65 # -64 % 69 - 51,-30
73 # 16 + -34 % -63 - 0,1255
89 - 17 % -70 & -3 $ 39,-0.140039
91 + -59 $ 91 - 36 & -61,-1.942623
-74 + 40 & -93 - 1 % 37,0.180851
-52 / 10 $ -67 & -5 + 60,-7.918182
56 * 97 $ -95 % -68 + 73,73
-93 & 63 + -32 - 92 & 49,0.007779
70 / 89 # 81 # 0 # 31,9932.820225
-8 $ -81 / -45 + 2 / 81,0.024691
15 / -34 $ -56 + -65 * -44,-4252
-15 - 31 - 96 - -8 + -94,-228
27 + -84 / 68 * 32 # 30,-1108.411765
84 - -7 / -80 * -5 - 95,-10.562500
-18 % 94 $ 98 * 12 * -36,23581152
-42 / 45 * 14 / 33 / -91,0.004351
4 / -85 % -5 & -38 + -90,0.000184
-43 $ 70 & -35 & 26 * 75,0.000256
81 # 8 $ -49 + 35 - -51,86
-38 & -99 $ 74 $ -76 - 19,0
-70 $ -37 & -4 + 48 $ -20,-inf
-41 + 31 - 6 # -40 $ 94,94
-29 * 34 & 33 + -51 % 44,-7.042857
-7 % 27 # -25 % -77 + -97,-113
-84 & 40 $ -21 * -19 % -38,-inf
56 + -36 # 74 % 48 * 82,1532
-42 - 33 & 11 $ 36 + 59,-0.184729
-97 - 15 # 51 / 12 + 15,-159.750000
33 + 40 + 40 - 17 / 29,112.413793
-56 # 7 # 29 & 49 $ 90,-35.341667
-14 * 89 * -75 / 58 - -94,1705.206897
96 - 30 / 66 $ 32 * -87,80736
13 # -53 % -57 $ 76 $ 76,0
67 # -1 * -5 + -17 * 90,-1515
-52 & -86 - -94 $ 30 & -76,0.001425
