Equation,Answer
-48 # 11 / -46,11.804348
24 / 14 + 3,4.714286
-49 + -39 - 37,-125
-1 % 26 - -30,55
-6 - -37 # -13,-411
41 $ -32 * 42,43008
-34 / -46 & -7,-0.052795
-10 * 17 $ -45,-45
46 & -27 & 0,-inf
48 # 17 & 17,26.911765
40 - -10 # -41,-237
23 - -46 # 25,1144
-19 $ -30 $ -35,-35
-5 # -43 - 22,59
-47 $ -20 / 26,-0.769231
17 & -26 / 9,-2.942308
-17 # 9 $ -3,-3
-1 + -30 % 42,11
-46 / -1 - 0,46
-22 & 0 / -24,inf
2 $ -6 # 30,4608
17 / -4 * -43,182.750000
5 * 29 $ 4,4
-16 % 32 / 15,1.066667
34 - 8 % -16,42
24 % 10 # 21,151
44 # -41 # 35,-67683
0 & -37 % -6,0
-22 & -5 % 16,-1
-13 * 16 / -11,18.909091
-41 - 33 - 28,-102
-15 / -8 - -32,33.875000
-44 $ -26 - -32,6
33 / 1 - 28,5
-42 $ 20 # -23,-6617
-1 - -2 % 43,-42
40 - 7 * 20,-100
35 / 38 + -8,-7.078947
44 / -34 + -3,-4.294118
28 / -24 + 29,27.833333
27 + 6 - -46,79
6 + -16 - -27,17
-17 # 11 * -24,4104
-1 + -48 $ 48,0
0 / 7 % -15,0
11 - 33 + -47,-69
30 % -10 / 34,0
27 % -3 / -16,0
39 / 24 + -35,-33.375000
-13 - -16 + 1,4
-40 & 16 / 4,-5
-4 / 9 + -9,-9.444444
-26 / 14 & 19,-0.048872
-38 / -16 * -17,-40.375000
2 # -34 * 42,-7056
-41 * 49 # 14,-30093
-32 - 12 / 5,-34.400000
-45 + -31 # 2,-132
-16 $ 0 # 1,0
-7 - 12 / -45,-6.733333
48 $ -23 + 27,27
-17 $ 20 $ 46,-92
-40 * 8 - -47,-273
42 - 34 + -2,6
42 - 24 - -12,30
36 $ -46 / -21,2.190476
36 $ 19 # 9,1519
1 $ -18 $ 6,6
-18 $ 31 % -32,-1
-46 $ -40 & 23,-0.869565
27 / -48 % -34,-0.562500
-29 / -12 / -5,-0.483333
22 $ -21 - -32,32
6 - -29 # -8,-173
9 - 8 # 39,-428
-3 + -7 # 3,-22
-38 % -17 - 7,-11
-35 / 49 + -25,-25.714286
35 # 43 / 14,119.214286
33 $ -27 * 24,12312
23 & -39 * 21,-0.014042
-17 / 33 - 1,-1.515152
15 + 37 * -41,-1502
-35 $ -33 * 5,-825
-32 # -30 + 31,869
-42 % -42 + 41,41
4 + 49 * -35,-1711
-44 $ 26 + 18,18
13 * 31 $ 1,1
-1 * -29 $ -22,0
39 * -36 / 15,-93.600000
48 # 1 $ -47,0
-48 - 23 $ 32,0
-48 + 47 % -43,-87
7 - -4 / 38,7.105263
0 $ -31 $ 32,0
-29 # -35 % 24,17
28 * -8 $ -7,-7
-23 # -32 $ 36,36
46 * 14 & -42,-7.666667
40 / -3 % 17,3.666667
-2 & -34 + -21,0.018182
-44 % 0 / -45,nan
4 - 45 # 33,-1625
-1 # 0 % -17,-1
-11 + 41 $ -25,0
9 * 48 / 38,11.368421
-33 # -45 # 34,46197
49 & -11 $ -23,-0.355072
47 + 4 $ -4,0
-7 + -13 $ 22,-22
40 * -18 # 13,-10041
-33 * 23 $ 29,0
-18 + 21 # -32,-765
43 # -39 $ 27,0
29 $ 25 - -17,42
-6 & -7 # 6,0.096774
-30 * -6 # 43,8049
-31 - 38 & -32,1.078125
-20 # -30 # -48,-23174
-49 / -20 $ 23,230
26 / -5 / 28,-0.185714
