Equation,Answer
39 & 14 * 12,0.116071
-14 - 36 - -5,-45
-23 + 37 + 23,37
-18 - -25 % -3,-17
-39 % 12 + 29,38
-3 / 26 + 11,10.884615
-24 $ 7 * 3,0
31 / -40 % 16,15.225000
0 / 15 % 43,0
-17 & -49 % 9,-1.700000
8 / 39 / 48,0.004274
-3 * 30 & -48,0.937500
31 / -41 + -11,-11.756098
27 & -40 - -31,-1.500000
48 / 47 & 45,0.011348
21 / 14 - -9,10.500000
31 $ 39 & 38,1.026316
2 * -39 + -12,-90
-9 * 33 & -45,3.300000
0 / 25 * 25,0
-19 $ 24 & -37,0.324324
1 % -27 * 1,-26
-4 + -5 + -20,-29
-24 & 3 + -31,0.428571
-7 - -11 + -16,-12
20 & 27 % 43,0.370370
18 - -12 + 19,49
-13 & -30 - -25,1.300000
-21 & -36 & 3,0.048611
-16 % 9 $ 10,50
33 / 9 & 23,0.079710
19 + -18 - -4,5
-43 + -10 $ -48,-48
48 + -25 - 47,-24
43 / 43 - -3,4
22 - -36 - 2,56
33 + -6 & 0,inf
5 & -21 $ 28,-0.089286
-38 $ 1 & 37,0
-23 - -44 % 10,-29
-43 $ -9 % 5,0
-28 & -3 - 12,0.933333
-13 * -29 & 2,94.250000
-36 $ 5 & -45,0
37 / -47 $ -41,-2173
7 & -27 * 18,-0.007202
-11 * 38 + -16,-434
27 * -44 - 15,-1203
-46 % 40 * -14,-476
21 - -23 & -17,-1.294118
-11 * 1 & 31,-0.177419
-6 + -16 & 12,-0.916667
-21 * 9 $ -28,-28
13 / -29 / 20,-0.022414
-37 * -11 % 36,11
19 * -1 + 20,1
-22 & 45 * 17,-0.014379
20 $ 12 $ 26,78
-40 % -24 % -24,-16
-3 - -43 - 1,39
12 / -8 * 27,-40.500000
-38 - 29 $ -26,-26
-41 & -38 + 15,0.891304
-40 % -22 $ 0,0
-26 - 7 + -7,-40
-41 $ 49 $ 0,0
-29 + -12 % 13,-28
-43 $ 47 & 13,-1.807692
-28 - 9 * 27,-271
48 % 25 % -15,-7
1 & 7 % -24,-0.029412
5 - 11 / -27,5.407407
15 / -33 - -41,40.545455
26 % 42 / 10,2.600000
-17 - -29 % 37,-25
0 * -5 % -43,0
32 + -23 / -6,35.833333
12 * -32 / 34,-11.294118
-7 & 9 + 1,-0.350000
-17 + -44 - -3,-58
26 % -23 % 2,0
-17 % 10 - 26,-23
-35 $ -40 / 41,-0.975610
4 * -25 * -15,1500
-35 * -36 - 20,1240
-34 + 47 $ -44,132
19 / -39 * 21,-10.230769
-13 % -46 / 9,-1.444444
-15 $ 21 % 44,-21
42 - -18 + -1,59
12 & -8 + -23,-0.193548
29 $ -30 * -47,69090
24 + -45 - -19,-2
40 - -27 * 0,40
11 + 34 + 31,76
44 / 17 & -31,-0.041746
25 & 43 / -3,-0.872093
22 & 21 / 37,19.380952
-43 $ -25 * -39,-21450
-36 & -28 & 27,0.011905
17 & 42 & -47,-0.002153
-44 $ 20 % -48,-28
-10 + 34 - 20,4
-18 / 4 & -12,0.187500
23 / 8 * 40,115
2 & -24 $ -16,-0.062500
31 - 36 - -8,3
-2 % 45 & 45,0.477778
2 - 19 + -29,-46
17 % -2 * -44,44
-19 * -10 / -33,-5.757576
-26 $ -32 - 3,-67
-32 / 8 / -41,0.097561
-43 * 24 - -35,-997
44 * -41 $ 20,0
34 - 5 $ -22,0
-30 % 11 + 18,21
22 * -48 - 17,-1073
-46 % 22 + -26,-6
39 % 6 * 25,75
-9 & 28 * -12,0.013393
18 & 6 - -38,0.204545
28 + -5 % 21,44
29 / 47 / 16,0.038564
0 % -42 * 45,0
-31 / -21 $ -35,805
22 & -15 % -16,-0.733333
0 $ 16 & 32,inf
-37 $ 48 + 5,-43
-34 $ 0 / -31,0
-5 + -29 $ 11,0
42 + -10 + -38,-6
-1 % -44 - 45,-46
-34 * -10 % 32,20
9 - -32 $ -10,0
-18 / 47 % -41,-0.382979
-8 & -10 * 49,0.008163
11 / -45 / 35,-0.006984
-40 % 12 + 23,31
-33 / -2 & 14,0.589286
-21 - 35 - 42,-98
0 % 24 $ 4,inf
5 - 47 / 4,-6.750000
8 & 27 + -16,0.363636
-12 - -11 + -25,-26
-1 - 47 / 12,-4.916667
6 / 37 & 26,0.003119
41 $ 29 * -17,5916
-38 & 7 + 23,-0.633333
-33 - 34 * 15,-543
16 & 0 % 45,inf
40 $ 34 / -30,0
40 * 26 & -22,-23.636364
36 $ -35 * -42,60270
-38 $ 49 - -1,-48
1 & -5 $ 18,-0.009259
-14 $ -33 $ 35,0
-1 + 30 * 30,899
18 & 4 * 2,1.125000
32 % -37 $ -36,-288
-36 % 32 - -15,43
-47 % 17 * -44,-176
-36 - -5 - -15,-16
27 $ -20 / 38,0
25 $ 34 / 7,4.857143
-25 % 10 % -26,-21
21 $ 44 & -46,-1.434783
-4 / 24 % 5,4.833333
-39 - -14 $ 19,0
-18 * 13 - 10,-244
-41 * 38 + -42,-1600
-1 * -5 $ -23,92
-44 * -13 $ 3,3
32 & 42 / -17,-6.476190
30 - -31 % -14,33
-18 * 17 & -1,153
10 - 40 $ -25,-25
30 / 16 & -38,-0.024671
19 - 39 * 13,-488
28 $ 19 & -28,-0.339286
34 & 26 * 48,0.013622
-20 + -5 % 20,-5
44 * 27 $ -42,0
-49 - 19 + 17,-51
46 % 21 & 38,0.052632
42 % -32 & -12,0.916667
18 & 39 / 40,9.230769
-28 $ -15 % 10,0
-24 $ 48 % 35,0
22 & 30 % 0,nan
-29 - -49 $ 4,4
44 * 0 + -13,-13
