Equation,Answer
14 % -49 + 25,-10
4 % -5 - -40,39
47 + -12 % -2,47
6 % -27 - 38,-59
-20 - -25 % 28,-23
-35 / -24 + 6,7.458333
-46 + -29 * -2,12
35 - -32 + 29,96
-4 * -35 % 34,4
-33 * -37 % 47,46
33 % 11 % -19,0
-12 * 49 % 43,14
-19 * 44 * -25,20900
-2 * 24 + -25,-73
26 / -48 / -27,0.020062
6 + 29 % 44,35
-6 / -37 / 43,0.003771
-1 % -31 * 35,-35
-35 + -39 / -40,-34.025000
-47 % -9 / 48,-0.041667
-14 / 47 * -13,3.872340
30 - -32 % -2,30
-19 / -2 * -45,-427.500000
0 * 41 / 12,0
-36 + -28 - 28,-92
17 * -34 - -14,-564
-34 / 7 - -1,-3.857143
2 / -45 - -25,24.955556
-13 - 23 * -4,79
22 + 22 - -42,86
40 / -15 / 22,-0.121212
5 - -33 + -36,2
45 / -8 - -31,25.375000
-30 - 11 % -39,-2
-14 + -5 + -26,-45
31 / -40 * -30,23.250000
-20 % 45 % -49,-24
2 - 32 / -19,3.684211
-20 / 14 - -2,0.571429
-16 / -2 - -10,18
-12 / 35 % 24,23.657143
9 * 16 + -11,133
41 - -17 % -13,45
42 - 23 % -31,50
31 - 32 % 0,nan
25 * 9 - -16,241
-45 - -49 % 5,-46
-35 + 13 + -37,-59
-15 + -14 * 1,-29
-20 % 23 % 29,3
-39 % -44 + -47,-86
-48 * -46 * -2,-4416
-12 % 10 * 42,336
10 / 43 % -10,-9.767442
12 % -6 + -45,-45
14 + 6 / 40,14.150000
-26 - -12 * 2,-2
33 + -46 - -31,18
8 % -30 + 45,23
47 + 15 / 47,47.319149
27 / -36 - -46,45.250000
-33 - 4 % 48,-37
-5 % 36 % -21,-11
18 / -1 + 41,23
-26 * -32 / 47,17.702128
46 - -6 * 3,64
40 % 8 - -46,46
-22 / 9 / -4,0.611111
-1 / 4 * -14,3.500000
25 % -14 * -25,75
28 / -15 - 0,-1.866667
15 + -12 - -21,24
47 * 0 * 3,0
40 / 0 % 39,nan
-17 / 17 - 31,-32
8 / 7 % 0,nan
38 + 14 - 36,16
-6 % -6 * 47,0
-46 / -9 - -30,35.111111
44 % 41 * -49,-147
-20 + -45 + 11,-54
-20 + 28 * -8,-244
0 * 28 * 22,0
-48 % -38 / -31,0.322581
-14 + -28 - 24,-66
30 + -34 + 44,40
10 * 4 / 36,1.111111
35 * -44 * -36,55440
28 - 22 - -49,55
6 / 9 + 19,19.666667
14 / 18 / -8,-0.097222
-43 % -44 * 19,-817
-21 * 13 % 42,21
28 + -31 - -20,17
24 - -32 * -37,-1160
7 / 23 + -29,-28.695652
-34 * 33 * 38,-42636
-12 % -29 * -31,372
-26 - 8 % -24,-10
15 % -39 / 0,-inf
40 + 0 + -25,15
28 % 0 + 1,nan
12 + 13 - 26,-1
-18 * -41 * -24,-17712
