Equation,Answer
-49 - 26 / -1,-23
-5 % 43 % -47,-9
42 @ -22 * -2,-136
49 - -11 / -26,48.576923
8 # -19 # -13,2373
-13 $ 3 & -42,0
-38 % 43 + 14,19
16 @ 44 @ 46,6
-10 - -47 % -32,5
-9 # 22 - 35,-176
26 & 16 & 0,inf
16 % -46 / -33,0.909091
22 - 48 $ 11,0
46 + -41 % 11,49
21 & 16 / -47,-30.843750
-30 % -37 / 44,-0.681818
-22 + 7 - -18,3
-46 & 7 * 33,-0.099567
-18 % 29 $ -26,52
22 % -11 + 21,21
-5 @ -36 & 36,2.569444
19 $ 45 @ 31,2000
46 - 1 * -22,68
-45 & 39 / -22,12.692308
-36 & -7 % -33,2.571429
42 * 0 @ -38,7980
-27 * 14 / 27,-14
35 # -36 # 2,-3993
24 & -25 & -47,0.005106
23 # 45 $ 19,19
12 @ -15 $ -37,0
26 * 19 - -1,495
-32 / 47 @ -21,-0.551724
-21 + -5 @ 43,-231
-14 % 35 # -44,-1035
-22 % 39 - 47,-30
41 + -8 % -44,33
-12 * 32 + -3,-387
-39 # -30 # -13,-12531
-24 & 36 - 42,2
-10 / -8 & 24,0.026042
-40 * -36 + 14,1454
22 # -28 * 7,-4746
0 % -31 # 48,144
-25 + -15 % 1,-25
-12 @ -1 $ -22,22
-48 % -19 % -16,-10
-18 * 31 & -35,7.971429
-36 * -49 - 46,1718
26 - -6 @ -1,15
7 $ 7 - 32,-25
27 $ -36 - 49,-13
-35 $ 26 - 30,-30
-32 # -6 - 19,123
30 # 32 # -12,-11982
23 # 29 % 16,9
1 & 41 * -43,-0.000284
-5 % -34 / 19,-0.263158
4 # -40 % -12,0
34 $ -28 % 47,19
16 - -13 / 25,16.520000
-47 * -19 + 29,922
-1 * -38 $ -20,0
-32 - 48 # 32,-1712
7 & -11 / 32,-10.181818
-3 @ 21 $ -35,-35
-13 @ -19 # 6,774
41 $ -37 # -9,1883
40 / 0 % 25,nan
-31 + -11 % -42,-42
12 $ -6 & -32,0
5 & -13 + -29,-0.059524
25 # -13 * -10,3390
34 % 5 + 24,28
-36 - 3 % 5,-39
-3 - -3 # -13,0
20 - -29 # -42,-1043
42 - 14 + 31,59
-40 % -13 $ 20,-400
44 - 28 & -29,-0.275862
23 # -16 # -2,387
-4 $ -39 / -12,0
38 % 19 & -17,0
-44 @ 4 / 33,0.727273
21 # -9 & -20,4.875000
40 % -8 - -19,19
-39 & 11 - 11,-inf
-48 / 19 & 2,-0.631579
-16 + -48 * 37,-1792
-19 # 5 # 18,-1827
23 % -46 / -3,7.666667
-48 # -2 - 7,35
49 # -16 $ -44,-44
0 - -41 & -43,-0.476744
-34 & -27 + -33,0.283333
-29 @ -26 * -23,-3657
-6 @ -49 / -15,-16.733333
-27 % 4 % -49,-48
12 @ 8 / 39,-1.333333
-43 $ -30 % 13,0
-14 # -13 # 39,5277
20 / 45 # 46,158.888889
36 # -8 - 7,-283
11 % -5 + 44,40
24 / -19 % 39,37.736842
13 / 39 % -40,-39.666667
32 # -34 # 13,-16173
3 + 40 @ 18,-127
-42 $ -4 $ -20,-100
-25 $ -13 # -33,-3804
22 + 34 - 23,33
45 # -23 + 37,-1022
-35 # 29 + 43,-920
-39 $ -34 $ 29,0
-9 $ 24 @ 47,-7511
42 + 45 + -17,70
0 - -44 - 29,15
27 # 26 & 36,11.208333
-5 & -45 % 16,-0.833333
5 & -26 @ 13,-0.064103
41 + 42 + 12,95
-47 & 45 # -37,0.013576
-2 @ 4 % 21,3
20 # 6 + -16,142
-9 @ -21 @ -28,26
-42 % 2 & 29,0
-11 # 36 + 17,-282
-18 # -18 + 39,291
-23 / 30 $ 23,-667
-20 @ -32 * 39,7020
-38 $ -13 * -49,-10192
-14 % -11 / 36,-0.083333
7 $ 1 * -34,136
8 / -47 & -35,0.002432
-3 # -45 # -48,-3
16 @ -5 + -13,-4
36 + 43 * -12,-480
34 $ 18 - -34,52
10 % -34 % -18,-6
-5 % 3 + -34,-33
44 @ -48 + -17,179
47 & 6 & -17,-0.115196
7 @ -46 & -26,-4.288462
-5 # -29 - 24,29
-1 / -49 + -40,-39.979592
-32 @ 25 % 49,5
-19 @ 21 $ 26,0
-7 + -2 / 2,-8
-30 @ -16 / -49,-2.244898
25 + 15 & 19,1.052632
-5 # 8 % -4,-1
6 / -7 & 8,-0.053571
-49 / 29 $ -10,-60
-14 % 37 / 13,1.769231
24 / -18 $ -13,-130
-34 # 44 + 3,-1395
3 / 2 + 21,22.500000
21 % 31 @ 42,-220
-45 - 31 @ -26,-144
-38 - 7 & 28,-0.803571
19 @ 25 # -40,5496
-48 - -28 $ 19,0
17 - 38 % 23,2
-45 # -8 + 34,325
11 $ 16 / -15,0
28 & 13 % 13,inf
13 / -3 $ 2,0
11 - 33 / 22,9.500000
20 & 38 % 45,0.263158
21 / -35 * -12,7.200000
-2 @ -13 - 18,49
18 $ -24 / 48,0
32 & -31 - 37,-0.235294
7 & 46 % 49,0.076087
40 & 18 % 24,1.111111
14 $ 1 % 29,1
-42 + 4 # 1,-31
3 + 24 + 37,64
14 @ 27 + -48,-197
36 # 24 - 29,943
28 $ 17 / 28,0.607143
-49 + 15 # 36,614
-26 - 28 / -49,-25.428571
-1 # -18 # 37,-1295
-25 @ 31 @ -16,210
24 # -13 - -18,-309
-39 $ -11 % -32,-11
32 / 9 * -27,-96
7 - 11 - 8,-12
15 % -38 & 48,-0.239583
-36 & 26 - 7,-0.947368
32 / 6 * -1,-5.333333
-29 @ 19 % 35,4
21 @ -10 $ 19,19
32 - -45 * -43,-1903
38 $ -40 + 32,72
0 @ 41 @ -29,350
37 $ -25 % 32,7
-28 % -44 @ 25,-28
-33 # 0 # -10,267
27 @ -20 * 1,73
-35 @ -26 @ -29,-20
-42 / 14 * -38,114
26 * 26 % -32,-28
-16 $ -44 * 23,-64768
45 & -35 * 36,-0.017857
3 - 28 - -29,4
-12 - 24 % 19,-17
-5 % 22 & -10,-0.850000
-6 * -48 $ 19,19
32 # -12 & -20,9.700000
30 @ -15 $ 36,36
10 & -19 # 42,-0.007236
-36 & 2 # -23,0.159292
37 % -39 $ 27,-351
-28 # 34 + -1,-879
25 / -46 $ -39,-2808
-49 + 35 @ 33,-249
-7 & -49 $ 13,inf
-24 # -22 / -16,-27.375000
40 + -29 @ -49,314
1 / -31 @ 33,-0.007463
4 + -46 * -17,786
5 @ -36 # 18,3379
-23 @ 8 $ -44,-132
-42 % -30 % -33,-12
-6 * -37 % 20,2
-43 & 6 # 15,-0.152482
40 * 14 @ 33,-7160
48 + -15 # -15,213
-27 % -15 % -42,-12
42 * 19 - -2,800
-36 % -31 * 4,-20
29 $ -29 + 24,53
10 % 21 / 1,10
29 * 10 * 12,3480
43 * -49 / -20,105.350000
20 # 13 + 38,357
-31 @ -30 $ -17,0
-48 + 49 + 4,5
5 % -43 % -30,-8
5 # 17 # 33,4893
-45 $ 46 & -33,0.696970
15 $ -16 - 35,-19
-16 $ 10 & 28,0
27 - -37 + 8,72
14 @ -18 + -9,67
28 - -35 - 49,14
-5 / 31 * 32,-5.161290
-37 @ 41 * -25,4200
-2 & -17 + 1,0.062500
-24 & 12 % -22,1.200000
-44 * -23 % 17,9
2 & 16 $ 18,0.027778
-19 # 22 $ -12,-12
-12 * 1 @ 34,2052
1 % 6 $ -43,1849
38 % 24 @ -29,38
-21 & 43 & -12,0.010174
-8 + -15 $ -44,-88
5 % -46 - 3,-44
17 $ 46 + -35,103
45 - 48 @ -4,73
-40 @ -4 @ -42,150
-15 - 41 @ 0,26
7 @ 41 % 46,18
4 - -29 $ -15,0
-18 / 23 & -27,0.014493
-10 - -49 # 40,1879
26 $ -18 $ -19,inf
11 @ 17 # 6,-654
13 - 12 - -48,49
-25 @ -25 * -31,-4650
-28 * 37 & 8,-64.750000
8 - 2 $ -43,301
26 - -8 * 19,178
-26 & -49 # -36,-0.008090
-48 % 30 $ 43,172
44 / -14 & 1,-1.571429
-1 - -35 + -44,-10
16 / -32 # 12,29.500000
-30 + -46 $ -12,-12
9 + -9 # -21,126
-43 * -43 / -32,-57.781250
-29 - 46 % -43,11
42 & 35 - -17,0.403846
-13 - -46 # 5,248
46 # 3 & -49,-1.969388
24 % -16 & -40,0.100000
26 % 47 * 37,962
27 # 26 % -42,-33
10 / 4 $ 42,714
9 - -1 & -48,-0.104167
-13 & -4 # 30,0.191176
-21 & -36 * -33,-0.008838
-22 % 18 @ 4,-22
44 + -5 & 5,3.900000
11 + -17 + 3,-3
-24 % 31 + 7,14
-28 & -47 + 10,0.378378
37 * -43 % 38,5
23 * 27 $ -5,0
-30 * -44 * -44,-58080
-29 $ 17 + 32,32
-25 + -21 $ 2,0
-27 @ 17 # 2,-168
9 * 8 - 35,37
36 + 5 + -21,20
-1 - -48 % -49,47
-40 / -2 @ 32,0.253165
30 $ 37 - 5,69
-20 / 42 & 46,-0.005176
-4 * -42 # 3,681
10 @ 10 - 23,-83
-1 + -40 / 10,-5
-41 / 8 & 17,-0.150735
-46 # 32 + 18,-1404
-31 @ -5 # -4,-180
0 + 0 # -20,-60
-39 @ 37 # -37,5145
4 / -11 * -11,4
-31 & 6 + 16,-0.704545
10 + 11 * -19,-199
19 - 6 / -34,19.176471
-35 - 33 + 21,-47
-15 @ -46 & 19,6.447368
33 # 1 # -47,-3315
2 / -27 % -43,-0.074074
-30 $ -35 % 42,0
41 / -45 $ 2,-4
-29 / 45 $ -36,-2016
-19 - -37 # -34,-1138
-28 % 27 - -41,67
35 & -23 $ 39,-0.448718
-7 $ 22 % 30,-66
-25 # -27 + -41,528
-40 & 49 + -33,-1.250000
-8 * -22 # -32,-5552
