Equation,Answer
-22 % -85 / 76 * 62 / 87,-0.206292
78 % -55 / -88 / 16 % -70,-69.977273
19 / -46 * -13 / -1 * 40,-214.782609
-29 % 67 / 10 % 52 * 72,273.600000
-1 / -98 / 98 % 57 * -73,-0.007601
-96 - 14 + -8 - -7 - -12,-99
-97 + 53 % 2 / -8 % 61,-36.125000
92 * 89 * -12 / 79 - 10,-1253.746835
32 + 98 + -96 / 84 / -73,130.015656
-21 + -60 % 27 + 3 + 78,81
-4 + -5 / 55 % -16 / -57,-3.998405
75 / 63 + 81 / 44 + -40,-36.968615
49 / -15 / -14 * -71 - 19,-35.566667
1 - 44 % -64 % 25 * 50,-249
-2 - 12 + -36 / -68 / -14,-14.037815
5 / -65 - -80 + 69 + -19,129.923077
-26 - -26 - 65 * -66 % 82,-56
-64 / -32 % -78 - 55 % 55,-76
0 * 52 / -17 + -11 - 71,-82
61 / -66 % -41 % -90 / -22,0.042011
-65 - -20 - 63 + -32 * -32,916
85 % 6 % 54 * -54 % 21,9
56 + -33 % -60 / 96 - 11,44.656250
88 + 49 * -22 * -63 + -21,67981
3 * 88 % 68 - -2 * 54,168
19 + 3 / -46 - 74 % -17,29.934783
47 / 31 / 51 * 95 - -49,51.824162
62 / 47 % 0 % -36 - -50,nan
92 + 17 % 33 + 78 - 41,146
-79 + 91 / 3 * -68 / -89,-55.823970
-76 + 97 - 15 % 9 - 13,2
-78 % -23 - 39 + -27 * 79,-2181
-85 * 66 * -74 % -29 + 3,-21
95 * 79 + -80 / -39 + -4,7503.051282
-27 + 66 % 54 / -75 % 59,31.840000
75 % 70 - 81 * 78 + 22,-6291
61 * -61 % 67 / 59 + 93,93.525424
56 - 93 - -3 / -76 + 44,6.960526
52 / 2 % 48 * 2 / -66,-0.787879
-73 + 16 % 53 - -31 / -34,-57.911765
-77 % 48 / 14 + 18 % -64,-44.642857
65 % 25 / 38 * 97 + -4,34.289474
59 / -50 + -86 - 98 - 61,-246.180000
61 - -58 / -73 / 67 - 8,52.988141
-70 - 41 % 13 % -5 * -35,-175
11 % 21 / 11 + -78 * 7,-545
53 - -79 + -13 / 76 / 70,131.997556
57 % 36 + -89 - -26 / 9,-65.111111
-33 + 59 % -38 - 64 / -39,-48.358974
1 % 23 * -72 * -5 % 10,0
-9 + -93 / -13 * -14 * 79,-7921.153846
1 * -24 % -53 * 39 % 73,13
-61 + -31 - -38 * 57 * 47,101710
-83 * -55 + -93 - -12 + -19,4465
42 + 8 % 23 % 34 / -86,41.906977
-47 + 1 + -92 / -32 % 81,-43.125000
31 + 45 + -55 % -37 - 77,-19
-66 + 36 / -80 / 46 * 64,-66.626087
-48 - -71 * -26 % 50 % 63,-94
-42 / 73 - 41 * 87 - 54,-3621.575342
-33 - -11 % 0 / 1 - -6,nan
-77 % 60 % -53 % -48 / 45,-0.222222
87 * -44 - 77 / -79 - 18,-3845.025316
85 % -78 / -10 - 25 - 69,-86.900000
-67 / 34 % -85 / 86 * -73,1.672709
-38 % -98 + -97 % 3 % 23,-36
-33 * -96 + -50 / 12 / -69,3168.060386
53 + 98 / -35 * -3 + 20,81.400000
-16 - -13 / -10 % 18 % -89,71.700000
-84 + -63 % 12 % -60 * 29,-1563
-50 % -44 / 25 - -5 / 40,-0.115000
76 - -86 * -50 % 19 % 46,70
72 % 38 - 46 + 60 * 71,4248
-38 - 29 * 27 % 11 * 75,-188
73 - 77 % 47 - 49 + 66,60
-32 / -1 % 18 + 84 + 98,196
84 % 1 / 60 - 44 + -53,-97
-22 / -20 - -4 - 0 / 59,5.100000
-54 - 31 * 98 / 48 * 35,-2269.208333
-15 / -12 % -77 + -65 % -71,-140.750000
-54 + 34 % 38 % 98 + -16,-36
0 - -76 + 68 * -40 * -79,214956
3 + 22 * 52 / 41 * 81,2263.097561
1 + -9 + -60 * 95 + 81,-5627
60 + 82 - -78 + 82 * 36,3172
0 - 29 * 27 - 81 % -44,-776
71 + 80 * 55 % 44 / 47,71
-75 / -20 * -59 / -35 / -6,-1.053571
15 - 57 / -32 * 48 + 21,121.500000
73 / 40 * -15 - 63 % -68,-22.375000
39 - 89 + -16 / 21 % -46,-50.761905
-13 - 31 % -96 % -92 % -60,-8
-65 * 64 - -7 % 10 - -67,-4096
56 + -29 / -44 / 63 + -27,29.010462
82 % 43 % -90 / -53 % 40,0.962264
-10 * 72 - -25 * -10 / 31,-728.064516
-53 - -5 * -94 - 36 + 69,-490
-23 % -5 * -83 / -66 + 58,54.227273
36 % 81 / -70 / 20 / -50,0.000514
15 + 0 * 57 + 42 - -48,105
-24 % 0 + 35 % -89 * -59,nan
60 % -6 + -59 * -34 + 22,2028
-72 % -69 % 47 * 17 - 21,727
-55 % 42 + -3 % -76 % -71,26
97 % -45 - 53 + -7 % -29,-98
87 % -89 - 43 + -15 - 91,-151
-90 - -35 % 79 - -90 - -43,-1
60 * 25 * 97 + 2 % -13,145489
82 * 11 * 22 * 93 - 22,1845470
-14 * -6 - -64 / -5 * 96,-1144.800000
-86 + -70 / -1 + 19 - 44,-41
-26 * 78 % -17 + -90 * 56,-5045
52 - -88 - 20 - -59 * -15,-765
-93 % -39 * 15 / 19 - 60,-71.842105
39 % 26 * -14 + -51 * 20,-1202
23 / -19 + -34 + 29 - -9,2.789474
-57 + -77 + 87 + 49 / -30,-48.633333
9 % -6 / -16 * 52 % 55,9.750000
96 * -18 % 50 / 61 % -3,-2.639344
-10 + 81 + 56 - 68 / -2,161
7 % -1 / -53 + -14 % -12,-2
60 % 9 * 78 / -76 * 25,-153.947368
-63 % 53 * 86 * -54 + -89,-199781
-85 / -23 - 0 + 54 - -58,115.695652
-18 % -47 / -82 + 11 * -5,-54.780488
-31 + -59 / 99 % -87 / 65,-31.009169
74 + -84 % -28 / 12 % 34,74
57 * 25 + -39 - 66 - -20,1340
8 * 72 * 73 / 58 % 99,31.965517
15 / -13 / -16 * -4 - -95,94.711538
-31 - 64 * -9 + -30 + -44,471
-32 % -52 - 68 - 52 % 37,-115
31 - 1 % -76 - -17 * -9,-47
56 - -31 * -84 % 48 / -69,56.173913
93 % -90 / -71 - -30 % -78,31.225352
41 % 36 % 91 / 85 - 9,-8.941176
-4 * 61 + -52 - 9 / -88,-295.897727
81 + 11 * -30 - 43 + -54,-346
64 / -6 * 37 * -46 / 7,2593.523810
-64 % -42 - 76 / 45 * -60,79.333333
32 % -69 - -50 + 76 / 12,19.333333
53 - 51 + 55 * 21 - 68,1089
-69 / 58 + -96 - -10 - -7,-80.189655
-98 * -58 + -71 % -58 + 87,5758
98 - 36 / -93 - -14 * 53,840.387097
61 / -3 * 98 * -53 - -34,105645.333333
27 % 78 * 70 / -65 / -1,29.076923
8 / 64 / 19 - -27 % 80,-52.993421
73 - 58 / 29 * 46 / 18,67.888889
38 / 67 * -16 - -45 * -97,-4374.074627
79 + 11 % -5 * 75 * 32,-9521
50 * 57 + 95 + 86 + -71,2960
-44 + -23 - -23 % -84 / 28,-66.178571
58 % 75 % -64 % 1 % -25,0
-87 * 93 / -39 % 41 + -33,-30.538462
-16 / -72 % 17 + 88 * 73,6424.222222
21 * 40 % -49 % 97 + -32,23
35 - -1 % 42 / -50 - -29,64.820000
38 + -5 % -59 % 6 * 11,49
-6 % 95 / -68 - 35 / -28,-0.058824
-80 - 11 + -27 + -98 * 87,-8644
-43 + -6 % 46 + -49 + -46,-98
-83 % -83 - 17 % -83 + -36,30
53 - 35 * 48 * -57 % -13,55
25 + 79 % -50 % 1 * -15,25
-77 - 51 / -40 * -95 % 77,-121.125000
-15 / 19 + -55 + -81 - -1,-135.789474
53 / 49 + -17 - 99 % -11,-15.918367
-19 % 79 % 40 + 25 / -15,18.333333
-86 * 85 * 92 * 50 - -55,-33625945
-41 + -40 - -49 % 93 - -67,-58
10 * 90 / 59 * 11 / -32,-5.243644
-47 / -18 * -52 / -5 % 63,27.155556
-26 - 61 / 10 * 23 - -5,-161.300000
-37 * 65 / 96 * -31 % 15,11.614583
-3 / 83 + 7 / -89 * 92,-7.272100
